AttrValPair                                                                                                   Support           Confidence
(slab/NN, concrete/JJ)                                                                                        5.61293E-4          0.54461 
(switch/NN, dimmer/JJR)                                                                                       5.59377E-4          0.06087 
(box/NN, switch/NN)                                                                                           5.57462E-4          0.07104 
(pump/NN, sump/NN)                                                                                            5.51715E-4          0.22395 
(pipe/NN, drain/NN)                                                                                           5.49799E-4          0.09732 
(year/NN, last/JJ)                                                                                            5.44052E-4          0.07694 
(box/NN, breaker/NN)                                                                                          5.44052E-4          0.06933 
(air/NN, cold/JJ)                                                                                             5.40221E-4          0.14795 
(amount/NN, small/JJ)                                                                                         5.34474E-4          0.2216  
(pump/NN, heat/NN)                                                                                            5.26811E-4          0.21384 
(hole/NN, small/JJ)                                                                                           5.21064E-4          0.09952 
(thing/NN, whole/JJ)                                                                                          5.19148E-4          0.0692  
(floor/NN, concrete/JJ)                                                                                       5.19148E-4          0.07647 
(f/NN, °/CD)                                                                                                  5.19148E-4          0.44868 
(year/NN, 10/CD)                                                                                              5.17232E-4          0.07315 
(day/NN, few/JJ)                                                                                              5.17232E-4          0.18776 
(problem/NN, same/JJ)                                                                                         5.0957E-4           0.11209 
(circuit/NN, same/JJ)                                                                                         5.03823E-4          0.08612 
(|/NN, |/CD)                                                                                                  4.9616E-4           2.25217 
(time/NN, first/JJ)                                                                                           4.94244E-4          0.06902 
((heater/NN, water/NN), hot/JJ)                                                                               4.94244E-4          0.5375  
(joist/NN, floor/NN)                                                                                          4.90413E-4          0.28635 
(option/NN, other/JJ)                                                                                         4.8275E-4           0.24609 
(switch/NN, 3-way/JJ)                                                                                         4.78919E-4          0.05212 
(floor/NN, hardwood/NN)                                                                                       4.73172E-4          0.06969 
(outlet/NN, gfci/NN)                                                                                          4.69341E-4          0.08769 
(conditioner/NN, air/NN)                                                                                      4.69341E-4          0.82492 
(floor/NN, second/JJ)                                                                                         4.61678E-4          0.068   
(breaker/NN, main/JJ)                                                                                         4.52099E-4          0.09516 
(way/NN, other/JJ)                                                                                            4.52099E-4          0.06443 
(sink/NN, kitchen/NN)                                                                                         4.50184E-4          0.37008 
(wall/NN, interior/JJ)                                                                                        4.46352E-4          0.04939 
(cord/NN, extension/NN)                                                                                       4.44437E-4          0.34218 
(house/NN, new/JJ)                                                                                            4.44437E-4          0.11922 
(pipe/NN, copper/NN)                                                                                          4.42521E-4          0.07833 
(switch/NN, two/CD)                                                                                           4.40605E-4          0.04795 
(idea/NN, bad/JJ)                                                                                             4.3869E-4           0.18879 
(head/NN, shower/NN)                                                                                          4.36774E-4          0.27703 
(inch/NN, few/JJ)                                                                                             4.34858E-4          0.06989 
(line/NN, water/NN)                                                                                           4.32943E-4          0.06146 
(bit/NN, drill/NN)                                                                                            4.32943E-4          0.42164 
(foam/NN, spray/NN)                                                                                           4.32943E-4          0.41392 
(door/NN, garage/NN)                                                                                          4.29111E-4          0.08702 
(thing/NN, first/JJ)                                                                                          4.23364E-4          0.05644 
(flow/NN, air/NN)                                                                                             4.23364E-4          0.29545 
(floor/NN, first/JJ)                                                                                          4.19533E-4          0.06179 
(switch/NN, wall/NN)                                                                                          4.06123E-4          0.04419 
(minute/NN, few/JJ)                                                                                           4.06123E-4          0.19666 
(piece/NN, two/CD)                                                                                            4.02292E-4          0.08271 
(wire/NN, 3/CD)                                                                                               4.02292E-4          0.0209  
(hand/NN, other/JJ)                                                                                           4.02292E-4          0.44025 
(compound/NN, joint/JJ)                                                                                       4.02292E-4          0.4277  
(wire/NN, one/CD)                                                                                             4.00376E-4          0.0208  
(time/NN, few/JJ)                                                                                             4.00376E-4          0.05591 
(unit/NN, ac/NN)                                                                                              3.98461E-4          0.10711 
(wire/NN, blue/JJ)                                                                                            3.96545E-4          0.02061 
(place/NN, first/JJ)                                                                                          3.94629E-4          0.17532 
(inch/NN, 6/CD)                                                                                               3.88882E-4          0.0625  
(damage/NN, water/NN)                                                                                         3.85051E-4          0.23564 
(air/NN, hot/JJ)                                                                                              3.81219E-4          0.10441 
(plate/NN, top/JJ)                                                                                            3.81219E-4          0.15511 
(wire/NN, new/JJ)                                                                                             3.79304E-4          0.01971 
(door/NN, front/JJ)                                                                                           3.79304E-4          0.07692 
(way/NN, one/CD)                                                                                              3.77388E-4          0.05378 
(circuit/NN, branch/NN)                                                                                       3.77388E-4          0.06451 
(wall/NN, outside/JJ)                                                                                         3.73557E-4          0.04133 
(drain/NN, french/JJ)                                                                                         3.71641E-4          0.41365 
(supply/NN, water/NN)                                                                                         3.71641E-4          0.30031 
(bulb/NN, light/JJ)                                                                                           3.63978E-4          0.15032 
(Code/NNP, electrical/JJ)                                                                                     3.62063E-4          0.96429 
(month/NN, few/JJ)                                                                                            3.62063E-4          0.20656 
(house/NN, whole/JJ)                                                                                          3.60147E-4          0.09661 
(outlet/NN, electrical/JJ)                                                                                    3.60147E-4          0.06729 
(frame/NN, door/NN)                                                                                           3.60147E-4          0.19894 
(tape/NN, electrical/JJ)                                                                                      3.58231E-4          0.15093 
(switch/NN, one/CD)                                                                                           3.58231E-4          0.03898 
(degree/NN, 90/CD)                                                                                            3.58231E-4          0.18515 
(code/NN, local/JJ)                                                                                           3.56316E-4          0.22012 
(circuit/NN, two/CD)                                                                                          3.56316E-4          0.0609  
(wire/NN, c/NN)                                                                                               3.56316E-4          0.01851 
(inch/NN, 2/CD)                                                                                               3.50569E-4          0.05634 
(handler/NN, air/NN)                                                                                          3.50569E-4          0.95313 
(wire/NN, 2/CD)                                                                                               3.48653E-4          0.01812 
(line/NN, drain/NN)                                                                                           3.46737E-4          0.04922 
(wire/NN, other/JJ)                                                                                           3.44822E-4          0.01792 
(type/NN, different/JJ)                                                                                       3.44822E-4          0.1273  
(board/NN, cement/NN)                                                                                         3.42906E-4          0.07732 
(disposal/NN, garbage/NN)                                                                                     3.4099E-4           0.83178 
(way/NN, easy/JJ)                                                                                             3.4099E-4           0.04859 
(board/NN, particle/NN)                                                                                       3.37159E-4          0.07602 
(way/NN, good/JJ)                                                                                             3.35243E-4          0.04778 
(switch/NN, new/JJ)                                                                                           3.35243E-4          0.03648 
(inch/NN, 1/2/CD)                                                                                             3.31412E-4          0.05326 
((store/NN, hardware/NN), local/JJ)                                                                           3.29496E-4          0.72574 
(tile/NN, ceramic/JJ)                                                                                         3.27581E-4          0.13307 
(foot/NN, square/JJ)                                                                                          3.25665E-4          0.0636  
(panel/NN, sub/NN)                                                                                            3.25665E-4          0.07331 
(week/NN, few/JJ)                                                                                             3.23749E-4          0.25224 
(year/NN, 5/CD)                                                                                               3.23749E-4          0.04579 
(air/NN, warm/JJ)                                                                                             3.23749E-4          0.08867 
(box/NN, metal/NN)                                                                                            3.19918E-4          0.04077 
(board/NN, backer/NN)                                                                                         3.16087E-4          0.07127 
((store/NN, box/NN), big/JJ)                                                                                  3.14171E-4          0.83673 
(head/NN, screw/NN)                                                                                           3.14171E-4          0.19927 
(flow/NN, water/NN)                                                                                           3.10339E-4          0.21658 
(line/NN, supply/NN)                                                                                          3.08424E-4          0.04379 
(wall/NN, concrete/JJ)                                                                                        3.08424E-4          0.03412 
(fan/NN, exhaust/NN)                                                                                          3.08424E-4          0.09555 
(word/NN, other/JJ)                                                                                           3.06508E-4          0.67797 
(time/NN, many/JJ)                                                                                            3.06508E-4          0.0428  
(hour/NN, few/JJ)                                                                                             3.06508E-4          0.14197 
(thing/NN, two/CD)                                                                                            3.06508E-4          0.04086 
(hole/NN, pilot/NN)                                                                                           3.02677E-4          0.05781 
(water/NN, much/JJ)                                                                                           3.00761E-4          0.11174 
(way/NN, same/JJ)                                                                                             2.98845E-4          0.04259 
(supply/NN, power/NN)                                                                                         2.98845E-4          0.24149 
(wire/NN, green/JJ)                                                                                           2.98845E-4          0.01553 
(tank/NN, expansion/NN)                                                                                       2.98845E-4          0.14195 
(light/NN, pilot/NN)                                                                                          2.9693E-4           0.05743 
(wall/NN, basement/NN)                                                                                        2.9693E-4           0.03285 
(inch/NN, 4/CD)                                                                                               2.9693E-4           0.04772 
(softener/NN, water/NN)                                                                                       2.93098E-4          0.88953 
(system/NN, heating/NN)                                                                                       2.91183E-4          0.05699 
(hour/NN, 24/CD)                                                                                              2.89267E-4          0.13398 
(year/NN, 20/CD)                                                                                              2.89267E-4          0.04091 
(run/NN, long/JJ)                                                                                             2.89267E-4          0.20657 
(side/NN, opposite/JJ)                                                                                        2.89267E-4          0.03717 
(foot/NN, 2/CD)                                                                                               2.8352E-4           0.05537 
(joist/NN, ceiling/NN)                                                                                        2.8352E-4           0.16555 
(sensor/NN, motion/NN)                                                                                        2.81604E-4          0.26825 
(side/NN, load/NN)                                                                                            2.81604E-4          0.03619 
((tank/NN, water/NN), hot/JJ)                                                                                 2.79689E-4          0.73367 
(level/NN, water/NN)                                                                                          2.79689E-4          0.09786 
(line/NN, gas/NN)                                                                                             2.77773E-4          0.03943 
(piece/NN, small/JJ)                                                                                          2.77773E-4          0.05711 
(element/NN, heating/NN)                                                                                      2.77773E-4          0.34689 
(work/NN, electrical/JJ)                                                                                      2.75857E-4          0.08696 
(construction/NN, new/JJ)                                                                                     2.75857E-4          0.33488 
(room/NN, laundry/NN)                                                                                         2.75857E-4          0.05389 
(floor/NN, wood/NN)                                                                                           2.75857E-4          0.04063 
(panel/NN, breaker/NN)                                                                                        2.73942E-4          0.06166 
(wire/NN, three/CD)                                                                                           2.72026E-4          0.01413 
(time/NN, several/JJ)                                                                                         2.72026E-4          0.03799 
(switch/NN, other/JJ)                                                                                         2.72026E-4          0.0296  
(thing/NN, good/JJ)                                                                                           2.72026E-4          0.03626 
(frame/NN, window/NN)                                                                                         2.7011E-4           0.14921 
(strip/NN, power/NN)                                                                                          2.7011E-4           0.16041 
(gap/NN, air/NN)                                                                                              2.68195E-4          0.20833 
(home/NN, older/JJR)                                                                                          2.66279E-4          0.14479 
(amp/NN, 20/CD)                                                                                               2.66279E-4          0.14772 
(option/NN, two/CD)                                                                                           2.66279E-4          0.13574 
(information/NN, more/JJR)                                                                                    2.66279E-4          0.48772 
(box/NN, outlet/NN)                                                                                           2.66279E-4          0.03394 
(floor/NN, basement/NN)                                                                                       2.64363E-4          0.03894 
(way/NN, proper/JJ)                                                                                           2.64363E-4          0.03767 
(wall/NN, brick/NN)                                                                                           2.64363E-4          0.02925 
(bulb/NN, incandescent/JJ)                                                                                    2.64363E-4          0.10918 
(area/NN, small/JJ)                                                                                           2.62448E-4          0.05139 
(year/NN, 3/CD)                                                                                               2.62448E-4          0.03712 
(drop/NN, voltage/NN)                                                                                         2.62448E-4          0.36533 
(rate/NN, flow/NN)                                                                                            2.60532E-4          0.46575 
(pipe/NN, water/NN)                                                                                           2.60532E-4          0.04612 
(%/NN, 80/CD)                                                                                                 2.60532E-4          0.07428 
(voltage/NN, low/JJ)                                                                                          2.60532E-4          0.17685 
(home/NN, new/JJ)                                                                                             2.60532E-4          0.14167 
(year/NN, many/JJ)                                                                                            2.58616E-4          0.03658 
(vent/NN, soffit/JJ)                                                                                          2.58616E-4          0.2093  
(thing/NN, few/JJ)                                                                                            2.58616E-4          0.03447 
(panel/NN, service/NN)                                                                                        2.58616E-4          0.05821 
(way/NN, better/JJR)                                                                                          2.56701E-4          0.03658 
(%/NN, 50/CD)                                                                                                 2.54785E-4          0.07264 
(house/NN, entire/JJ)                                                                                         2.54785E-4          0.06835 
(protector/NN, surge/NN)                                                                                      2.54785E-4          0.81595 
(hazard/NN, fire/NN)                                                                                          2.52869E-4          0.45051 
(room/NN, dining/NN)                                                                                          2.50954E-4          0.04903 
(foot/NN, 3/CD)                                                                                               2.50954E-4          0.04901 
(tank/NN, pressure/NN)                                                                                        2.49038E-4          0.11829 
(material/NN, other/JJ)                                                                                       2.49038E-4          0.08055 
(time/NN, next/JJ)                                                                                            2.49038E-4          0.03478 
(coat/NN, two/CD)                                                                                             2.49038E-4          0.08458 
(pipe/NN, PVC/NNP)                                                                                            2.47122E-4          0.04374 
(inch/NN, 1/4/CD)                                                                                             2.45207E-4          0.03941 
(barrier/NN, vapour/NN)                                                                                       2.45207E-4          0.11358 
(level/NN, ground/NN)                                                                                         2.45207E-4          0.08579 
(wire/NN, electrical/JJ)                                                                                      2.43291E-4          0.01264 
(board/NN, control/NN)                                                                                        2.43291E-4          0.05486 
(tank/NN, septic/JJ)                                                                                          2.43291E-4          0.11556 
(step/NN, next/JJ)                                                                                            2.41375E-4          0.30657 
(foot/NN, 4/CD)                                                                                               2.37544E-4          0.04639 
(night/NN, last/JJ)                                                                                           2.37544E-4          0.57407 
(valve/NN, check/NN)                                                                                          2.37544E-4          0.0655  
(step/NN, first/JJ)                                                                                           2.37544E-4          0.36686 
(light/NN, ceiling/NN)                                                                                        2.37544E-4          0.04594 
(one/NN, new/JJ)                                                                                              2.37544E-4          0.11397 
(room/NN, one/CD)                                                                                             2.35628E-4          0.04603 
(wire/NN, bare/JJ)                                                                                            2.35628E-4          0.01224 
(cable/NN, new/JJ)                                                                                            2.33712E-4          0.05701 
(gas/NN, natural/JJ)                                                                                          2.33712E-4          0.2563  
(seconds/NN, few/JJ)                                                                                          2.33712E-4          0.25738 
(system/NN, septic/JJ)                                                                                        2.33712E-4          0.04574 
(line/NN, straight/JJ)                                                                                        2.31797E-4          0.03291 
(part/NN, other/JJ)                                                                                           2.31797E-4          0.06053 
(side/NN, right/JJ)                                                                                           2.31797E-4          0.02979 
(breaker/NN, gfci/NN)                                                                                         2.31797E-4          0.04879 
(engineer/NN, structural/JJ)                                                                                  2.31797E-4          0.484   
(light/NN, recessed/JJ)                                                                                       2.31797E-4          0.04483 
(damage/NN, physical/JJ)                                                                                      2.29881E-4          0.14068 
(screw/NN, two/CD)                                                                                            2.29881E-4          0.1011  
(problem/NN, similar/JJ)                                                                                      2.29881E-4          0.05057 
(screw/NN, drywall/NN)                                                                                        2.29881E-4          0.13304 
(wire/NN, 4/CD)                                                                                               2.29881E-4          0.01195 
(outlet/NN, other/JJ)                                                                                         2.27965E-4          0.04259 
(work/NN, duct/NN)                                                                                            2.27965E-4          0.07186 
(barrier/NN, moisture/NN)                                                                                     2.27965E-4          0.10559 
(Luck/NNP, good/JJ)                                                                                           2.27965E-4          0.99167 
(inch/NN, 1/CD)                                                                                               2.27965E-4          0.03664 
(siding/NN, vinyl/NN)                                                                                         2.27965E-4          0.34897 
(detail/NN, more/JJR)                                                                                         2.2605E-4           0.49167 
(edge/NN, straight/JJ)                                                                                        2.2605E-4           0.08532 
(valve/NN, shutoff/NN)                                                                                        2.24134E-4          0.06181 
(piece/NN, one/CD)                                                                                            2.24134E-4          0.04608 
(panel/NN, electrical/JJ)                                                                                     2.24134E-4          0.05045 
(time/NN, more/JJR)                                                                                           2.24134E-4          0.0313  
(electrician/NN, licensed/JJ)                                                                                 2.24134E-4          0.34311 
(room/NN, enough/JJ)                                                                                          2.22218E-4          0.04341 
(foot/NN, 10/CD)                                                                                              2.22218E-4          0.0434  
(outlet/NN, new/JJ)                                                                                           2.22218E-4          0.04152 
(box/NN, ceiling/NN)                                                                                          2.22218E-4          0.02832 
(size/NN, same/JJ)                                                                                            2.22218E-4          0.08889 
(type/NN, other/JJ)                                                                                           2.22218E-4          0.08204 
(detector/NN, smoke/NN)                                                                                       2.20303E-4          0.36741 
(maker/NN, ice/NN)                                                                                            2.20303E-4          0.58376 
(layer/NN, thin/JJ)                                                                                           2.20303E-4          0.09062 
(foot/NN, few/JJ)                                                                                             2.18387E-4          0.04265 
(instruction/NN, installation/NN)                                                                             2.18387E-4          0.53023 
(year/NN, two/CD)                                                                                             2.18387E-4          0.03089 
(code/NN, building/NN)                                                                                        2.18387E-4          0.13491 
(air/NN, outside/JJ)                                                                                          2.16471E-4          0.05929 
(basement/NN, unfinished/JJ)                                                                                  2.16471E-4          0.35202 
(wire/NN, extra/JJ)                                                                                           2.16471E-4          0.01125 
(system/NN, hvac/NN)                                                                                          2.16471E-4          0.04237 
(tape/NN, duct/NN)                                                                                            2.16471E-4          0.0912  
(exchanger/NN, heat/NN)                                                                                       2.16471E-4          0.84962 
(amp/NN, 15/CD)                                                                                               2.16471E-4          0.12009 
(inch/NN, 3/CD)                                                                                               2.16471E-4          0.03479 
(foot/NN, 6/CD)                                                                                               2.16471E-4          0.04227 
(volt/NN, 120/CD)                                                                                             2.16471E-4          0.17712 
(wall/NN, foundation/NN)                                                                                      2.14556E-4          0.02374 
(panel/NN, solar/JJ)                                                                                          2.14556E-4          0.0483  
(way/NN, right/JJ)                                                                                            2.14556E-4          0.03058 
(fixture/NN, new/JJ)                                                                                          2.14556E-4          0.06825 
(circuit/NN, new/JJ)                                                                                          2.1264E-4           0.03635 
(loss/NN, heat/NN)                                                                                            2.1264E-4           0.34906 
(hose/NN, garden/NN)                                                                                          2.1264E-4           0.20145 
((opener/NN, door/NN), garage/NN)                                                                             2.1264E-4           0.94872 
(day/NN, one/CD)                                                                                              2.1264E-4           0.07719 
(steel/NN, stainless/JJ)                                                                                      2.10724E-4          0.41045 
(stud/NN, metal/NN)                                                                                           2.10724E-4          0.1147  
(switch/NN, transfer/NN)                                                                                      2.10724E-4          0.02293 
(answer/NN, other/JJ)                                                                                         2.10724E-4          0.12088 
(side/NN, hot/JJ)                                                                                             2.10724E-4          0.02708 
(c/NN, °/CD)                                                                                                  2.08809E-4          0.30532 
(circuit/NN, short/JJ)                                                                                        2.08809E-4          0.03569 
(cabinet/NN, kitchen/NN)                                                                                      2.08809E-4          0.23542 
(year/NN, 15/CD)                                                                                              2.08809E-4          0.02953 
(time/NN, one/CD)                                                                                             2.08809E-4          0.02916 
(coat/NN, first/JJ)                                                                                           2.06893E-4          0.07027 
(source/NN, power/NN)                                                                                         2.06893E-4          0.14815 
(wire/NN, live/JJ)                                                                                            2.06893E-4          0.01075 
(air/NN, cool/JJ)                                                                                             2.06893E-4          0.05666 
(knife/NN, putty/NN)                                                                                          2.06893E-4          0.2813  
(hole/NN, screw/NN)                                                                                           2.04977E-4          0.03915 
(layer/NN, two/CD)                                                                                            2.04977E-4          0.08432 
(way/NN, three/CD)                                                                                            2.04977E-4          0.02921 
(week/NN, last/JJ)                                                                                            2.04977E-4          0.1597  
(fan/NN, bathroom/NN)                                                                                         2.03062E-4          0.06291 
(hole/NN, two/CD)                                                                                             2.03062E-4          0.03879 
(month/NN, 6/CD)                                                                                              2.03062E-4          0.11585 
(side/NN, back/JJ)                                                                                            2.03062E-4          0.0261  
