Itemset                                                                                                       Support           Confidence
(floor/NN, garage/NN)                                                                                         6.62339E-4          0.12821 
(course/NN, second/JJ)                                                                                        6.62339E-4          0.55556 
(problem/NNS, other/JJ)                                                                                       6.62339E-4          0.3125  
((work/NN, aerification/NN), liquid/JJ)                                                                       6.62339E-4          1.0     
(market/NN, UK/NNP)                                                                                           6.62339E-4          0.625   
(time/NN, one/CD)                                                                                             6.62339E-4          0.13158 
(humidity/NN, high/JJ)                                                                                        6.62339E-4          0.625   
((hammer/NN, claw/NN), regular/JJ)                                                                            5.29872E-4          0.57143 
(unit/NN, outdoor/JJ)                                                                                         5.29872E-4          0.11429 
(size/NN, same/JJ)                                                                                            5.29872E-4          0.28571 
(breaker/NN, circuit/NN)                                                                                      5.29872E-4          0.5     
(government/NN, local/JJ)                                                                                     5.29872E-4          0.8     
(place/NN, one/CD)                                                                                            5.29872E-4          0.28571 
(wall/NN, whole/JJ)                                                                                           5.29872E-4          0.09091 
(fireplace/NN, gas/NN)                                                                                        5.29872E-4          0.57143 
(hour/NNS, few/JJ)                                                                                            5.29872E-4          0.4     
(garage/NN, pole-barn/JJ)                                                                                     5.29872E-4          1.0     
(unit/NN, consumer/NN)                                                                                        5.29872E-4          0.11429 
(wiring/NN, Aluminum/NNP)                                                                                     5.29872E-4          0.13793 
(month/NNS, 6/CD)                                                                                             5.29872E-4          0.26667 
(wiring/NN, knob-and-tube/JJ)                                                                                 5.29872E-4          0.13793 
(savings/NNS, energy/NN)                                                                                      5.29872E-4          1.0     
(anchor/NNS, drywall/NN)                                                                                      5.29872E-4          0.57143 
(width/NN, uneven/JJ)                                                                                         5.29872E-4          0.66667 
(house/NN, new/JJ)                                                                                            5.29872E-4          0.09756 
(tile/NN, ceramic/JJ)                                                                                         5.29872E-4          0.36364 
(house/NN, entire/JJ)                                                                                         5.29872E-4          0.09756 
(house/NN, whole/JJ)                                                                                          5.29872E-4          0.09756 
(floor/NN, hardwood/NN)                                                                                       5.29872E-4          0.10256 
(line/NN, water/NN)                                                                                           5.29872E-4          0.09091 
(load/NN, minimal/JJ)                                                                                         5.29872E-4          0.33333 
(pipe/NN, copper/NN)                                                                                          5.29872E-4          0.16    
(year/NNS, 20/CD)                                                                                             5.29872E-4          0.08511 
(hole/NN, large/JJ)                                                                                           5.29872E-4          0.21053 
(pit/NN, sump/NN)                                                                                             5.29872E-4          1.0     
((software/NN, design/NN), home/NN)                                                                           5.29872E-4          1.0     
(condition/NN, good/JJ)                                                                                       5.29872E-4          0.66667 
(bathtub/NN, free-standing/JJ)                                                                                5.29872E-4          1.0     
(people/NNS, other/JJ)                                                                                        5.29872E-4          0.44444 
(wall/NN, interior/JJ)                                                                                        5.29872E-4          0.09091 
(slab/NNS, cap/NN)                                                                                            5.29872E-4          0.8     
(contract/NN, service/NN)                                                                                     5.29872E-4          1.0     
(word/NNS, other/JJ)                                                                                          5.29872E-4          0.8     
(%/NN, 50/CD)                                                                                                 5.29872E-4          0.14815 
(heater/NN, water/NN)                                                                                         5.29872E-4          0.28571 
(caulk/NN, silicone/NN)                                                                                       5.29872E-4          0.4     
(project/NN, diy/NN)                                                                                          5.29872E-4          0.4     
(line/NN, frost/NN)                                                                                           5.29872E-4          0.09091 
(wire/NNS, two/CD)                                                                                            5.29872E-4          0.23529 
(protection/NN, mold/NN)                                                                                      5.29872E-4          0.66667 
((tile/NNS, wall/NN), kitchen/NN)                                                                             5.29872E-4          1.0     
(crack/NN, wedge/corner/NN)                                                                                   5.29872E-4          0.5     
(hazard/NN, fire/NN)                                                                                          5.29872E-4          1.0     
(board/NN, particle/NN)                                                                                       5.29872E-4          0.22222 
(gauge/NN, 12/CD)                                                                                             5.29872E-4          0.5     
(thing/NNS, two/CD)                                                                                           5.29872E-4          0.15385 
(room/NN, dining/NN)                                                                                          5.29872E-4          0.11429 
(flow/NN, water/NN)                                                                                           5.29872E-4          0.44444 
(hanger/NNS, joist/NN)                                                                                        5.29872E-4          0.8     
(job/NN, good/JJ)                                                                                             5.29872E-4          0.21053 
(tape/NN, paper/NN)                                                                                           5.29872E-4          0.30769 
(layer/NN, top/JJ)                                                                                            5.29872E-4          0.26667 
(England/NNP, New/NNP)                                                                                        5.29872E-4          1.0     
(day/NN, one/CD)                                                                                              5.29872E-4          0.44444 
(paint/NN, lead/JJ)                                                                                           5.29872E-4          0.12903 
(hole/NNS, new/JJ)                                                                                            5.29872E-4          0.16667 
((repair/NN, driveway/NN), asphalt/NN)                                                                        5.29872E-4          1.0     
(finish/NN, film/NN)                                                                                          5.29872E-4          0.30769 
((stick/NN, cord/NN), lamp/NN)                                                                                5.29872E-4          1.0     
(wire/NN, ground/NN)                                                                                          5.29872E-4          0.12121 
(piece/NNS, two/CD)                                                                                           5.29872E-4          0.36364 
(sunlight/NN, direct/JJ)                                                                                      5.29872E-4          0.66667 
(way/NN, one/CD)                                                                                              5.29872E-4          0.05882 
(roof/NN, shingled/JJ)                                                                                        5.29872E-4          0.14815 
(room/NN, enough/JJ)                                                                                          5.29872E-4          0.11429 
(surface/NN, glossy/JJ)                                                                                       5.29872E-4          0.26667 
(frame/NN, door/NN)                                                                                           5.29872E-4          0.25    
(way/NN, cheap/JJ)                                                                                            5.29872E-4          0.05882 
((unit/NN, conditioning/NN), air/NN)                                                                          5.29872E-4          1.0     
(table/NN, pool/NN)                                                                                           5.29872E-4          0.4     
(hole/NN, small/JJ)                                                                                           5.29872E-4          0.21053 
(wire/NN, hot/JJ)                                                                                             5.29872E-4          0.12121 
(pad/NN, concrete/JJ)                                                                                         5.29872E-4          0.36364 
((type/NNS, heater/NN), water/NN)                                                                             5.29872E-4          1.0     
(year/NNS, 100/CD)                                                                                            5.29872E-4          0.08511 
(side/NN, long/JJ)                                                                                            5.29872E-4          0.09756 
(year/NNS, 10/CD)                                                                                             5.29872E-4          0.08511 
(thing/NN, good/JJ)                                                                                           5.29872E-4          0.07407 
(rafter/NNS, attic/NN)                                                                                        5.29872E-4          1.0     
(construction/NN, new/JJ)                                                                                     3.97404E-4          0.42857 
(box/NN, cable/NN)                                                                                            3.97404E-4          0.09091 
(control/NN, ant/NN)                                                                                          3.97404E-4          0.23077 
(foot/NNS, =/JJ)                                                                                              3.97404E-4          0.06977 
(part/NNS, replacement/NN)                                                                                    3.97404E-4          0.21429 
(heater/NN, tankless/JJ)                                                                                      3.97404E-4          0.21429 
(way/NN, proper/JJ)                                                                                           3.97404E-4          0.04412 
(run/NN, long/JJ)                                                                                             3.97404E-4          0.375   
(side/NN, short/JJ)                                                                                           3.97404E-4          0.07317 
(angle/NN, slight/JJ)                                                                                         3.97404E-4          0.42857 
(pump/NN, heat/NN)                                                                                            3.97404E-4          0.17647 
(option/NNS, lighting/NN)                                                                                     3.97404E-4          0.1875  
(thing/NN, only/JJ)                                                                                           3.97404E-4          0.05556 
(foot/NNS, cubic/JJ)                                                                                          3.97404E-4          0.06977 
(year/NNS, 15/CD)                                                                                             3.97404E-4          0.06383 
(product/NNS, other/JJ)                                                                                       3.97404E-4          0.1875  
(fan/NN, bathroom/NN)                                                                                         3.97404E-4          0.125   
(finder/NN, stud/NN)                                                                                          3.97404E-4          0.75    
(paint/NN, lead/NN)                                                                                           3.97404E-4          0.09677 
(duct/NNS, air/NN)                                                                                            3.97404E-4          0.27273 
(problem/NN, same/JJ)                                                                                         3.97404E-4          0.16667 
(%/NN, 85/CD)                                                                                                 3.97404E-4          0.11111 
(foot/NNS, lineal/JJ)                                                                                         3.97404E-4          0.06977 
(porch/NN, open/JJ)                                                                                           3.97404E-4          0.75    
(floor/NN, entire/JJ)                                                                                         3.97404E-4          0.07692 
(switch/NNS, two/CD)                                                                                          3.97404E-4          0.09677 
(hammer/NN, claw/NN)                                                                                          3.97404E-4          0.33333 
(time/NN, next/JJ)                                                                                            3.97404E-4          0.07895 
(hanger/NN, joist/NN)                                                                                         3.97404E-4          1.0     
(heater/NNS, tankless/JJ)                                                                                     3.97404E-4          0.42857 
(house/NN, brick/NN)                                                                                          3.97404E-4          0.07317 
(cause/NN, new/JJ)                                                                                            3.97404E-4          0.375   
(layer/NN, second/JJ)                                                                                         3.97404E-4          0.2     
(furnace/NN, oil/NN)                                                                                          3.97404E-4          0.5     
(molding/NN, crown/NN)                                                                                        3.97404E-4          0.3     
(code/NN, current/JJ)                                                                                         3.97404E-4          0.375   
(unit/NN, outside/JJ)                                                                                         3.97404E-4          0.08571 
((wire/NN, gauge/NN), 14/CD)                                                                                  3.97404E-4          0.75    
(drylok/NN, ugl/NN)                                                                                           3.97404E-4          1.0     
((holder/NN, paper/NN), toilet/NN)                                                                            3.97404E-4          1.0     
(gun/NN, nail/NN)                                                                                             3.97404E-4          0.23077 
(screw/NN, adjustment/NN)                                                                                     3.97404E-4          0.42857 
(cabinet/NNS, special/JJ)                                                                                     3.97404E-4          1.0     
(day/NNS, 30/CD)                                                                                              3.97404E-4          0.23077 
(wire/NN, copper/NN)                                                                                          3.97404E-4          0.09091 
(ice/NN, dry/JJ)                                                                                              3.97404E-4          1.0     
(time/NN, last/JJ)                                                                                            3.97404E-4          0.07895 
(floor/NNS, bouncy/NN)                                                                                        3.97404E-4          0.23077 
(lumber/NN, dimensional/JJ)                                                                                   3.97404E-4          0.5     
(carpet/NN, new/JJ)                                                                                           3.97404E-4          0.6     
((door/NN, garage/NN), dead/dying/JJ)                                                                         3.97404E-4          1.0     
((frame/NN, window/NN), square/NN)                                                                            3.97404E-4          1.0     
((system/NN, heating/NN), central/JJ)                                                                         3.97404E-4          0.6     
(owner/NNS, previous/JJ)                                                                                      3.97404E-4          0.6     
(screen/NNS, pet-resistant/JJ)                                                                                3.97404E-4          0.42857 
(part/NN, top/JJ)                                                                                             3.97404E-4          0.25    
(painter/NN, blue/JJ)                                                                                         3.97404E-4          1.0     
(deal/NN, big/JJ)                                                                                             3.97404E-4          0.6     
((level/NN, water/NN), high/JJ)                                                                               3.97404E-4          1.0     
(way/NN, other/JJ)                                                                                            3.97404E-4          0.04412 
(deck/NN, cool/JJ)                                                                                            3.97404E-4          0.3     
(acid/NN, boric/JJ)                                                                                           3.97404E-4          0.75    
(audit/NN, energy/NN)                                                                                         3.97404E-4          0.6     
(aerator/NN, faucet/NN)                                                                                       3.97404E-4          1.0     
(example/NN, one/CD)                                                                                          3.97404E-4          0.375   
(hole/NNS, small/JJ)                                                                                          3.97404E-4          0.125   
((zone/NNS, heating/NN), multiple/JJ)                                                                         3.97404E-4          1.0     
(residue/NN, white/JJ)                                                                                        3.97404E-4          1.0     
(Hampshire/NNP, New/NNP)                                                                                      3.97404E-4          1.0     
(dimension/NNS, same/JJ)                                                                                      3.97404E-4          0.3     
(box/NN, entire/JJ)                                                                                           3.97404E-4          0.09091 
(shingle/NNS, asphalt/NN)                                                                                     3.97404E-4          0.33333 
(Sketchup/NNP, Google/NNP)                                                                                    3.97404E-4          1.0     
((wall/NN, brick/NN), indoor/JJ)                                                                              3.97404E-4          0.6     
(head/NN, shower/NN)                                                                                          3.97404E-4          0.42857 
(day/NNS, few/JJ)                                                                                             3.97404E-4          0.23077 
(airflow/NN, enough/JJ)                                                                                       3.97404E-4          0.75    
(stamp/NNS, sand/NN)                                                                                          3.97404E-4          1.0     
(pad/NN, brick/NN)                                                                                            3.97404E-4          0.27273 
(floor/NNS, bamboo/NN)                                                                                        3.97404E-4          0.23077 
(wood/NN, treated/JJ)                                                                                         3.97404E-4          0.2     
(door/NN, interior/JJ)                                                                                        3.97404E-4          0.04348 
(box/NN, valve/NN)                                                                                            3.97404E-4          0.09091 
(thing/NN, first/JJ)                                                                                          3.97404E-4          0.05556 
(interface/NN, user/NN)                                                                                       3.97404E-4          0.6     
(level/NNS, humidity/NN)                                                                                      3.97404E-4          0.3     
(frame/NN, new/JJ)                                                                                            3.97404E-4          0.1875  
(line/NN, straight/JJ)                                                                                        3.97404E-4          0.06818 
(bulb/NNS, heating/NN)                                                                                        3.97404E-4          0.5     
(wall/NNS, single-brick/JJ)                                                                                   3.97404E-4          0.14286 
(speaker/NNS, rear/JJ)                                                                                        3.97404E-4          0.6     
(compound/NN, repair/NN)                                                                                      3.97404E-4          0.5     
