Itemset                                                                                                       Support           Confidence
(year/NNS, 10/CD)                                                                                             4.21491E-4          0.07945 
(idea/NN, bad/JJ)                                                                                             4.17934E-4          0.16096 
(joist/NNS, floor/NN)                                                                                         4.17934E-4          0.3518  
(amount/NN, small/JJ)                                                                                         4.14378E-4          0.21298 
(flow/NN, air/NN)                                                                                             4.09042E-4          0.31989 
(inch/NNS, few/JJ)                                                                                            4.01929E-4          0.104   
(floor/NN, hardwood/NN)                                                                                       4.01929E-4          0.06417 
(head/NN, shower/NN)                                                                                          4.0015E-4           0.34091 
(floor/NN, first/JJ)                                                                                          4.0015E-4           0.06388 
(compound/NN, joint/JJ)                                                                                       4.0015E-4           0.50223 
(bit/NN, drill/NN)                                                                                            3.98372E-4          0.17834 
(damage/NN, water/NN)                                                                                         3.98372E-4          0.24427 
(disposal/NN, garbage/NN)                                                                                     3.96593E-4          0.8677  
(minute/NNS, few/JJ)                                                                                          3.94815E-4          0.21553 
(foam/NN, spray/NN)                                                                                           3.94815E-4          0.40585 
(wire/NN, c/NN)                                                                                               3.91258E-4          0.03182 
(circuit/NNS, two/CD)                                                                                         3.91258E-4          0.19214 
(thing/NNS, other/JJ)                                                                                         3.89479E-4          0.17506 
(drain/NN, french/JJ)                                                                                         3.85923E-4          0.4041  
(piece/NNS, two/CD)                                                                                           3.84144E-4          0.21032 
(|/NN, |/CD)                                                                                                  3.82366E-4          2.26316 
(way/NN, good/JJ)                                                                                             3.78809E-4          0.05981 
(wire/NN, one/CD)                                                                                             3.73473E-4          0.03038 
(switch/NN, one/CD)                                                                                           3.73473E-4          0.05114 
(supply/NN, water/NN)                                                                                         3.73473E-4          0.31204 
(hand/NN, other/JJ)                                                                                           3.73473E-4          0.50971 
(thing/NN, first/JJ)                                                                                          3.71695E-4          0.07729 
(switch/NN, wall/NN)                                                                                          3.69917E-4          0.05066 
(air/NN, hot/JJ)                                                                                              3.68138E-4          0.10376 
(time/NNS, few/JJ)                                                                                            3.68138E-4          0.17009 
(door/NN, front/JJ)                                                                                           3.64581E-4          0.09263 
(place/NN, first/JJ)                                                                                          3.64581E-4          0.25593 
(cord/NN, extension/NN)                                                                                       3.62803E-4          0.35355 
(board/NN, cement/NN)                                                                                         3.57467E-4          0.10841 
(pipe/NN, copper/NN)                                                                                          3.55689E-4          0.07886 
(way/NN, one/CD)                                                                                              3.50354E-4          0.05532 
(board/NN, particle/NN)                                                                                       3.46797E-4          0.10518 
(house/NN, whole/JJ)                                                                                          3.46797E-4          0.10433 
(board/NN, backer/NN)                                                                                         3.4324E-4           0.1041  
(unit/NN, ac/NN)                                                                                              3.4324E-4           0.13076 
(frame/NN, door/NN)                                                                                           3.39683E-4          0.20319 
(way/NN, other/JJ)                                                                                            3.36126E-4          0.05307 
(Code/NNP, electrical/JJ)                                                                                     3.36126E-4          0.95939 
(wall/NN, brick/NN)                                                                                           3.34348E-4          0.05198 
(way/NN, easy/JJ)                                                                                             3.34348E-4          0.05279 
(month/NNS, few/JJ)                                                                                           3.32569E-4          0.22667 
(tape/NN, electrical/JJ)                                                                                      3.32569E-4          0.14655 
(switch/NN, 3-way/JJ)                                                                                         3.32569E-4          0.04554 
(way/NN, proper/JJ)                                                                                           3.30791E-4          0.05223 
(line/NN, water/NN)                                                                                           3.29012E-4          0.06528 
(plate/NN, top/JJ)                                                                                            3.27234E-4          0.16473 
(year/NN, last/JJ)                                                                                            3.27234E-4          0.24533 
(inch/NNS, 6/CD)                                                                                              3.27234E-4          0.08468 
(handler/NN, air/NN)                                                                                          3.23677E-4          0.95288 
(wall/NNS, exterior/NN)                                                                                       3.21899E-4          0.09869 
(air/NN, warm/JJ)                                                                                             3.2012E-4           0.09023 
(switch/NNS, light/JJ)                                                                                        3.2012E-4           0.12876 
(panel/NN, sub/NN)                                                                                            3.2012E-4           0.08893 
(breaker/NNS, circuit/NN)                                                                                     3.16563E-4          0.20843 
(inch/NN, 1/2/CD)                                                                                             3.11228E-4          0.15034 
(line/NN, drain/NN)                                                                                           3.09449E-4          0.0614  
(week/NNS, few/JJ)                                                                                            3.07671E-4          0.33723 
(outlet/NN, electrical/JJ)                                                                                    3.04114E-4          0.08589 
(wire/NNS, 3/CD)                                                                                              3.00557E-4          0.04447 
(fan/NN, exhaust/NN)                                                                                          2.98779E-4          0.0979  
(panel/NN, service/NN)                                                                                        2.97E-4             0.08251 
(light/NN, pilot/NN)                                                                                          2.95222E-4          0.09601 
(floor/NNS, hardwood/NN)                                                                                      2.95222E-4          0.24776 
(wire/NN, blue/JJ)                                                                                            2.93443E-4          0.02387 
(floor/NN, basement/NN)                                                                                       2.93443E-4          0.04685 
(water/NN, much/JJ)                                                                                           2.93443E-4          0.10862 
(hole/NN, small/JJ)                                                                                           2.91665E-4          0.1052  
(flow/NN, water/NN)                                                                                           2.89887E-4          0.2267  
(wire/NN, new/JJ)                                                                                             2.88108E-4          0.02343 
(construction/NN, new/JJ)                                                                                     2.88108E-4          0.35217 
((store/NN, hardware/NN), local/JJ)                                                                           2.88108E-4          0.82234 
(supply/NN, power/NN)                                                                                         2.8633E-4           0.23923 
(type/NNS, different/JJ)                                                                                      2.8633E-4           0.24961 
(hour/NNS, few/JJ)                                                                                            2.84551E-4          0.15579 
(nut/NNS, wire/NN)                                                                                            2.84551E-4          0.59479 
(system/NN, heating/NN)                                                                                       2.84551E-4          0.06788 
(fixture/NNS, light/JJ)                                                                                       2.84551E-4          0.26316 
(word/NNS, other/JJ)                                                                                          2.84551E-4          0.79208 
((tank/NN, water/NN), hot/JJ)                                                                                 2.82773E-4          0.76812 
(thing/NNS, two/CD)                                                                                           2.82773E-4          0.1271  
(wire/NNS, 2/CD)                                                                                              2.82773E-4          0.04184 
(time/NNS, many/JJ)                                                                                           2.82773E-4          0.13065 
(switch/NN, new/JJ)                                                                                           2.80994E-4          0.03848 
(wire/NNS, hot/JJ)                                                                                            2.79216E-4          0.04132 
(voltage/NN, low/JJ)                                                                                          2.79216E-4          0.21866 
(tank/NN, expansion/NN)                                                                                       2.77437E-4          0.14365 
(way/NN, same/JJ)                                                                                             2.77437E-4          0.04381 
(year/NNS, 5/CD)                                                                                              2.73881E-4          0.05163 
(softener/NN, water/NN)                                                                                       2.73881E-4          0.90588 
(vent/NNS, soffit/JJ)                                                                                         2.70324E-4          0.21683 
(fan/NN, bathroom/NN)                                                                                         2.68545E-4          0.088   
(nut/NN, wire/NN)                                                                                             2.68545E-4          0.36124 
(wall/NN, outside/JJ)                                                                                         2.66767E-4          0.04147 
(side/NN, load/NN)                                                                                            2.66767E-4          0.04    
(work/NN, electrical/JJ)                                                                                      2.64988E-4          0.0926  
(panel/NN, breaker/NN)                                                                                        2.64988E-4          0.07362 
(box/NN, metal/NN)                                                                                            2.64988E-4          0.0406  
(pipe/NN, PVC/NNP)                                                                                            2.6321E-4           0.05836 
(option/NNS, other/JJ)                                                                                        2.61431E-4          0.20417 
(hour/NNS, 24/CD)                                                                                             2.59653E-4          0.14216 
(time/NNS, several/JJ)                                                                                        2.59653E-4          0.11997 
(siding/NN, vinyl/NN)                                                                                         2.56096E-4          0.34532 
(wire/NNS, ground/NN)                                                                                         2.56096E-4          0.03789 
(house/NN, entire/JJ)                                                                                         2.52539E-4          0.07598 
(sensor/NN, motion/NN)                                                                                        2.52539E-4          0.31767 
(room/NN, laundry/NN)                                                                                         2.50761E-4          0.06075 
(fireplace/NN, gas/NN)                                                                                        2.50761E-4          0.48288 
(wall/NNS, interior/JJ)                                                                                       2.50761E-4          0.07688 
(floor/NN, wood/NN)                                                                                           2.48982E-4          0.03975 
(wire/NN, green/JJ)                                                                                           2.47204E-4          0.02011 
(room/NN, one/CD)                                                                                             2.47204E-4          0.05989 
(system/NN, septic/JJ)                                                                                        2.47204E-4          0.05897 
(option/NNS, two/CD)                                                                                          2.47204E-4          0.19306 
(%/NN, 80/CD)                                                                                                 2.47204E-4          0.07236 
(%/NN, 50/CD)                                                                                                 2.47204E-4          0.07236 
(panel/NN, electrical/JJ)                                                                                     2.47204E-4          0.06868 
(information/NN, more/JJR)                                                                                    2.47204E-4          0.48772 
(foot/NNS, 2/CD)                                                                                              2.41869E-4          0.05954 
(barrier/NN, vapour/NN)                                                                                       2.4009E-4           0.11618 
(level/NN, ground/NN)                                                                                         2.4009E-4           0.11354 
(thing/NNS, few/JJ)                                                                                           2.4009E-4           0.10791 
(inch/NNS, 2/CD)                                                                                              2.4009E-4           0.06213 
(year/NNS, many/JJ)                                                                                           2.4009E-4           0.04526 
(level/NN, water/NN)                                                                                          2.38312E-4          0.1127  
(tile/NN, ceramic/JJ)                                                                                         2.38312E-4          0.17027 
(wall/NN, interior/JJ)                                                                                        2.38312E-4          0.03705 
(seconds/NNS, few/JJ)                                                                                         2.38312E-4          0.26908 
(thing/NN, good/JJ)                                                                                           2.38312E-4          0.04956 
(circuit/NN, branch/NN)                                                                                       2.36533E-4          0.06032 
(head/NN, screw/NN)                                                                                           2.36533E-4          0.20152 
(drop/NN, voltage/NN)                                                                                         2.36533E-4          0.41433 
(hazard/NN, fire/NN)                                                                                          2.36533E-4          0.50189 
(way/NN, 3/CD)                                                                                                2.36533E-4          0.03735 
(year/NNS, 20/CD)                                                                                             2.34755E-4          0.04425 
(time/NN, next/JJ)                                                                                            2.34755E-4          0.05104 
(cabinet/NNS, kitchen/NN)                                                                                     2.34755E-4          0.41121 
((opener/NN, door/NN), garage/NN)                                                                             2.34755E-4          0.97059 
(basement/NN, unfinished/JJ)                                                                                  2.32976E-4          0.38529 
(room/NN, dining/NN)                                                                                          2.32976E-4          0.05644 
(box/NN, ceiling/NN)                                                                                          2.31198E-4          0.03542 
(coat/NNS, two/CD)                                                                                            2.31198E-4          0.22109 
(thermostat/NN, new/JJ)                                                                                       2.29419E-4          0.16602 
(box/NNS, electrical/JJ)                                                                                      2.29419E-4          0.16775 
(inch/NN, 1/CD)                                                                                               2.29419E-4          0.11082 
(barrier/NN, moisture/NN)                                                                                     2.29419E-4          0.11102 
(year/NNS, 3/CD)                                                                                              2.27641E-4          0.04291 
(gap/NN, air/NN)                                                                                              2.27641E-4          0.22898 
(tank/NN, pressure/NN)                                                                                        2.25863E-4          0.11694 
(hole/NNS, small/JJ)                                                                                          2.25863E-4          0.08826 
(degree/NNS, 90/CD)                                                                                           2.25863E-4          0.15246 
(box/NN, outlet/NN)                                                                                           2.24084E-4          0.03433 
(inch/NN, 1/4/CD)                                                                                             2.24084E-4          0.10825 
(rate/NN, flow/NN)                                                                                            2.24084E-4          0.55752 
(wiring/NN, electrical/JJ)                                                                                    2.22306E-4          0.19172 
(wire/NNS, three/CD)                                                                                          2.22306E-4          0.03289 
(way/NN, better/JJR)                                                                                          2.22306E-4          0.0351  
(gas/NN, natural/JJ)                                                                                          2.20527E-4          0.34349 
(board/NN, control/NN)                                                                                        2.20527E-4          0.06688 
(work/NN, duct/NN)                                                                                            2.20527E-4          0.07707 
(bulb/NN, light/JJ)                                                                                           2.20527E-4          0.2149  
(way/NN, right/JJ)                                                                                            2.18749E-4          0.03454 
(screw/NNS, drywall/NN)                                                                                       2.18749E-4          0.20297 
(joist/NNS, ceiling/NN)                                                                                       2.1697E-4           0.18263 
(source/NN, power/NN)                                                                                         2.1697E-4           0.21144 
(run/NN, long/JJ)                                                                                             2.1697E-4           0.23462 
(code/NNS, local/JJ)                                                                                          2.1697E-4           0.35569 
(owner/NNS, previous/JJ)                                                                                      2.1697E-4           0.61    
(line/NN, gas/NN)                                                                                             2.1697E-4           0.04305 
(piece/NN, one/CD)                                                                                            2.15192E-4          0.07742 
(hose/NN, garden/NN)                                                                                          2.15192E-4          0.22787 
(receptacle/NN, gfci/NN)                                                                                      2.15192E-4          0.14303 
(wall/NN, concrete/JJ)                                                                                        2.15192E-4          0.03345 
(protector/NN, surge/NN)                                                                                      2.15192E-4          0.85211 
(frame/NN, window/NN)                                                                                         2.15192E-4          0.12872 
(tank/NN, septic/JJ)                                                                                          2.15192E-4          0.11142 
(home/NN, new/JJ)                                                                                             2.13413E-4          0.1662  
(night/NN, last/JJ)                                                                                           2.13413E-4          0.69767 
(Luck/NNP, good/JJ)                                                                                           2.13413E-4          0.99174 
(flooring/NN, laminate/NN)                                                                                    2.13413E-4          0.15666 
(damage/NN, physical/JJ)                                                                                      2.13413E-4          0.13086 
(box/NNS, junction/NN)                                                                                        2.13413E-4          0.15605 
(step/NN, first/JJ)                                                                                           2.11635E-4          0.58911 
(light/NN, ceiling/NN)                                                                                        2.11635E-4          0.06883 
(screw/NNS, two/CD)                                                                                           2.11635E-4          0.14746 
(inch/NNS, 4/CD)                                                                                              2.09856E-4          0.0543  
(room/NN, enough/JJ)                                                                                          2.09856E-4          0.05084 
(size/NN, same/JJ)                                                                                            2.09856E-4          0.11227 
(wall/NNS, basement/NN)                                                                                       2.09856E-4          0.06434 
(foot/NNS, 4/CD)                                                                                              2.08078E-4          0.05123 
(switch/NNS, 3-way/JJ)                                                                                        2.08078E-4          0.08369 
(engineer/NN, structural/JJ)                                                                                  2.08078E-4          0.51542 
(layer/NNS, two/CD)                                                                                           2.08078E-4          0.28193 
(gun/NN, heat/NN)                                                                                             2.08078E-4          0.39394 
(foot/NNS, 3/CD)                                                                                              2.08078E-4          0.05123 
(element/NN, heating/NN)                                                                                      2.063E-4            0.41727 
(strip/NN, power/NN)                                                                                          2.063E-4            0.21805 
(day/NN, one/CD)                                                                                              2.04521E-4          0.22549 
(tape/NN, duct/NN)                                                                                            2.04521E-4          0.09013 
(line/NN, straight/JJ)                                                                                        2.04521E-4          0.04058 
(steel/NN, stainless/JJ)                                                                                      2.04521E-4          0.41667 
(valve/NN, check/NN)                                                                                          2.04521E-4          0.0721  
(side/NN, opposite/JJ)                                                                                        2.02743E-4          0.0304  
(foot/NNS, few/JJ)                                                                                            2.02743E-4          0.04991 
(instruction/NNS, installation/NN)                                                                            2.02743E-4          0.54545 
(maker/NN, ice/NN)                                                                                            2.02743E-4          0.61957 
(foot/NNS, square/JJ)                                                                                         2.00964E-4          0.04947 
(air/NN, outside/JJ)                                                                                          2.00964E-4          0.05664 
(area/NN, small/JJ)                                                                                           2.00964E-4          0.05622 
(plate/NN, sill/NN)                                                                                           2.00964E-4          0.10116 
(loss/NN, heat/NN)                                                                                            1.99186E-4          0.42264 
(stud/NNS, metal/NN)                                                                                          1.99186E-4          0.15321 
(side/NN, right/JJ)                                                                                           1.99186E-4          0.02987 
(wall/NN, dry/JJ)                                                                                             1.97407E-4          0.03069 
(switch/NN, transfer/NN)                                                                                      1.97407E-4          0.02703 
(line/NN, supply/NN)                                                                                          1.97407E-4          0.03917 
(one/NNS, new/JJ)                                                                                             1.97407E-4          0.11834 
(weight/NN, much/JJ)                                                                                          1.97407E-4          0.27407 
(system/NN, hvac/NN)                                                                                          1.95629E-4          0.04667 
(electrician/NN, licensed/JJ)                                                                                 1.95629E-4          0.39007 
(c/NN, °/CD)                                                                                                  1.9385E-4           0.30028 
(wire/NN, extra/JJ)                                                                                           1.9385E-4           0.01577 
(paint/NN, latex/NN)                                                                                          1.9385E-4           0.10634 
(air/NN, cool/JJ)                                                                                             1.9385E-4           0.05464 
(side/NN, left/JJ)                                                                                            1.9385E-4           0.02907 
(exchanger/NN, heat/NN)                                                                                       1.9385E-4           0.82576 
(edge/NN, straight/JJ)                                                                                        1.9385E-4           0.09963 
(foot/NNS, 10/CD)                                                                                             1.9385E-4           0.04772 
(conditioning/NN, air/NN)                                                                                     1.9385E-4           0.88618 
(time/NN, one/CD)                                                                                             1.92072E-4          0.04176 
(wire/NN, electrical/JJ)                                                                                      1.92072E-4          0.01562 
(cable/NN, new/JJ)                                                                                            1.90294E-4          0.06461 
(year/NNS, two/CD)                                                                                            1.90294E-4          0.03587 
(way/NN, three/CD)                                                                                            1.90294E-4          0.03005 
(outlet/NNS, other/JJ)                                                                                        1.90294E-4          0.08479 
(bedroom/NN, master/NN)                                                                                       1.90294E-4          0.40996 
(side/NN, back/JJ)                                                                                            1.90294E-4          0.02853 
(flooring/NN, hardwood/NN)                                                                                    1.88515E-4          0.13838 
(knife/NN, putty/NN)                                                                                          1.88515E-4          0.29041 
(people/NNS, many/JJ)                                                                                         1.88515E-4          0.22553 
(knife/NN, utility/NN)                                                                                        1.88515E-4          0.29041 
(volt/NNS, 120/CD)                                                                                            1.88515E-4          0.17966 
(air/NN, fresh/JJ)                                                                                            1.86737E-4          0.05263 
(step/NN, next/JJ)                                                                                            1.86737E-4          0.40698 
(floor/NN, 2nd/JJ)                                                                                            1.86737E-4          0.02981 
(option/NN, other/JJ)                                                                                         1.86737E-4          0.12295 
(bulb/NNS, light/JJ)                                                                                          1.86737E-4          0.12238 
(hole/NN, pilot/NN)                                                                                           1.84958E-4          0.06671 
(thing/NN, other/JJ)                                                                                          1.84958E-4          0.03846 
(problem/NN, similar/JJ)                                                                                      1.84958E-4          0.06068 
(cavity/NN, wall/NN)                                                                                          1.84958E-4          0.55615 
